,CLAVE_MUNICIPIO_RES,CLAVE_ENTIDAD_RES,Municipio,RESULTADO,Entidad,conteo,defunciones,pt_2015,an_2015,ne614_015,bi_2015,sins_15,vpt_2015,vns_2015,vna_2015,vnd_2015,vne_2015,vnl_2015,vnr_2015,irs_2015,grs_2015,lmex_2015,poblacion,pobreza,pobreza_pob,pobreza_e,pobreza_e_pob,pobreza_m,pobreza_m_pob,vul_car,vul_car_pob,vul_ing,vul_ing_pob,npnv,npnv_pob,ic_rezedu,ic_rezedu_pob,ic_asalud,ic_asalud_pob,ic_segsoc,ic_segsoc_pob,ic_cv,ic_cv_pob,ic_sbv,ic_sbv_pob,ic_ali,ic_ali_pob,carencias,carencias_pob,carencias3,carencias3_pob,plb,plb_pob,plbm,plbm_pob,pob_total,mayores_65,pob_menore,sin_derech,sin_dere_1,consultori,consulto_1,farmacias,porc_carencia_salud,tasa_diabetes,tasa_cardiacas,tasa_cancer,tasa_pulmonares,grado_diabetes,grado_cardiacas,grado_cancer,grado_pulmonares,hospitales_imss,hospitales_issste,hospitales_ssa,hospitales_sme,hospitales_semar,hospitales_sedena,hospitales_pemex,total_hospitales_publicos,total_camas_publicos,hospitales_privados,total_de_camas_privados,total_camas,pob2020,CVE_MUN,Casos x 100k,covid_defun_100k,letalidad,modelo,dia_ajuste,Vulnerabilidad
93670,01001,01,AGUASCALIENTES,Positivo SARS-CoV-2,AGUASCALIENTES,652.0,30.0,877190,2.057,3.4786,25.6873,14.155999999999999,0.5478,0.5543,0.6627,0.4819,0.1999,13.8229,5.4216,-1.365841,Muy bajo,2397.0,861446.0,26.1,224949.0,1.6,13650.0,24.5,211299.0,26.4,227805.0,11.5,98641.0,36.0,310052.0,11.7,100530.0,15.1,129728.0,36.4,313557.0,3.7,32153.0,3.0,25494.0,18.0,154658.0,52.6,452753.0,7.3,63220.0,37.6,323590.0,10.0,86166.0,797010,40309,169531,178471,304855,575,23,656,15.1,0.537007064,1.273509743,0.749049573,0.599741534,Bajo,Bajo,Medio,Medio,2,1,5,0,0,0,0,8,1228,17,43,1271,961977,001,67.77708822560207,3.1185776790921196,4.601226993865031,PLS,2020-06-01,8.602677098178358
93671,01002,01,ASIENTOS,Positivo SARS-CoV-2,AGUASCALIENTES,8.0,0.0,46464,4.4207,2.5959,41.8921,5.5355,1.6779,5.6457,1.2979,5.9887,1.1681,23.4356,15.222000000000001,-0.8839154,Bajo,1950.0,46624.0,54.0,25169.0,4.4,2067.0,49.5,23101.0,29.0,13544.0,7.7,3577.0,9.3,4335.0,19.8,9244.0,6.0,2788.0,69.0,32175.0,7.8,3633.0,16.2,7553.0,24.7,11494.0,83.0,38713.0,14.1,6594.0,61.7,28745.0,24.4,11394.0,45492,2627,11666,6264,34652,10,1,24,6.0,0.7913479290000001,0.989184912,0.637474721,0.769366042,Medio,Muy Bajo,Medio,Alto,0,0,0,0,0,0,0,0,0,0,0,0,50864,002,15.728216420257942,0.0,0.0,PLS,2020-06-01,12.013766094272452
93672,01003,01,CALVILLO,Positivo SARS-CoV-2,AGUASCALIENTES,11.0,0.0,56048,4.7805,4.3906,49.1856,9.7524,1.0577,0.7756,0.9519,0.8673,0.5429,15.562000000000001,7.3826,-0.9794567,Bajo,2077.0,52773.0,56.8,29951.0,3.1,1650.0,53.6,28301.0,27.6,14561.0,6.3,3348.0,9.3,4913.0,23.2,12254.0,9.9,5212.0,73.6,38857.0,5.2,2746.0,7.7,4082.0,17.3,9148.0,84.3,44513.0,10.5,5528.0,63.1,33299.0,26.8,14118.0,54136,4034,12803,9263,45895,26,3,32,9.9,0.923599823,1.293039752,0.738879858,0.664991872,Medio,Bajo,Medio,Alto,0,0,1,0,0,0,0,1,46,1,0,46,60760,003,18.104015799868336,0.0,0.0,PLS,2020-06-01,11.776306957531748
93673,01004,01,COSÍO,Positivo SARS-CoV-2,AGUASCALIENTES,15.0,0.0,15577,4.3233,2.6265,33.0597,5.1165,1.5629,2.8986,0.5968,1.9324,0.7389,23.0747,12.4467,-1.0626879999999999,Muy bajo,2164.0,15321.0,43.2,6620.0,2.8,432.0,40.4,6187.0,32.7,5004.0,8.0,1232.0,16.1,2466.0,14.7,2251.0,5.5,846.0,62.7,9608.0,7.9,1215.0,7.6,1167.0,20.7,3175.0,75.9,11623.0,9.9,1522.0,51.2,7852.0,16.6,2546.0,15042,844,3651,2092,11093,2,0,8,5.5,0.797766254,1.595532509,0.797766254,0.664805212,Medio,Medio,Alto,Alto,0,0,0,0,0,0,0,0,0,0,0,0,16918,004,88.66296252512117,0.0,0.0,PLS,2020-06-01,11.019018454214088
93674,01005,01,JESÚS MARÍA,Positivo SARS-CoV-2,AGUASCALIENTES,30.0,2.0,120405,3.2445,4.1297,33.7271,13.8341,0.9201,1.0273,0.9443,0.7264,0.42200000000000004,15.5097,8.1976,-1.18862,Muy bajo,2286.0,125750.0,25.0,31479.0,1.7,2095.0,23.4,29385.0,38.0,47831.0,6.6,8314.0,30.3,38126.0,17.3,21712.0,15.2,19076.0,45.0,56595.0,8.2,10303.0,6.3,7977.0,18.7,23562.0,63.1,79310.0,11.3,14225.0,31.6,39794.0,7.9,9984.0,99590,3640,26403,22241,47765,48,8,54,15.2,0.5221407770000001,0.953911035,0.5522642839999999,0.5522642839999999,Bajo,Muy Bajo,Bajo,Medio,1,0,0,0,0,0,0,1,297,0,0,297,130184,005,23.044306520002458,1.536287101333497,6.666666666666667,PLS,2020-06-01,10.072258152579026
93675,01006,01,"PABELLÓN DE
ARTEAGA",Positivo SARS-CoV-2,AGUASCALIENTES,37.0,1.0,46473,3.3941,2.6214,30.9453,10.0661,0.7057,1.82,1.1514,1.3465,0.7243,16.9561,10.3352,-1.19741,Muy bajo,2293.0,45733.0,34.9,15972.0,2.2,1005.0,32.7,14966.0,30.2,13802.0,10.5,4823.0,24.4,11137.0,15.3,7008.0,10.5,4821.0,49.8,22778.0,5.8,2651.0,5.8,2669.0,19.4,8852.0,65.1,29773.0,9.2,4186.0,45.5,20794.0,13.8,6305.0,41862,2169,10393,7914,23305,24,6,24,10.5,0.740528403,1.361616741,0.7883044290000001,0.6688643639999999,Medio,Bajo,Alto,Alto,0,0,1,0,0,0,0,1,40,0,0,40,50032,006,73.95267029101375,1.9987208186760472,2.7027027027027026,PLS,2020-06-01,10.238312833356442
93676,01007,01,RINCÓN DE ROMOS,Positivo SARS-CoV-2,AGUASCALIENTES,46.0,0.0,53866,3.5087,2.2669,32.0825,10.3999,0.9245,2.7653,1.579,2.6016,0.6791,21.795,11.4865,-1.132335,Muy bajo,2241.0,50895.0,50.1,25483.0,3.3,1660.0,46.8,23824.0,23.2,11833.0,9.9,5014.0,16.8,8565.0,14.6,7427.0,10.3,5265.0,60.8,30964.0,7.8,3979.0,7.7,3895.0,22.7,11533.0,73.3,37316.0,10.6,5373.0,59.9,30498.0,22.9,11671.0,49156,2520,12424,9586,32510,19,2,33,10.3,0.589958499,0.8544226540000001,0.44755472399999996,0.6916754820000001,Bajo,Muy Bajo,Bajo,Alto,0,0,1,0,0,0,0,1,45,2,0,45,57981,007,79.336334316414,0.0,0.0,PLS,2020-06-01,11.100358207864746
93677,01008,01,"SAN JOSÉ DE
GRACIA",Positivo SARS-CoV-2,AGUASCALIENTES,5.0,0.0,8896,3.1822,1.9663,36.5098,5.643,0.5703,5.9886,1.6159999999999999,4.8954,1.5209,24.2871,14.2586,-0.9908752000000001,Bajo,2093.0,8768.0,59.6,5228.0,5.3,464.0,54.3,4764.0,22.2,1945.0,4.4,388.0,13.8,1206.0,15.3,1340.0,5.2,459.0,74.7,6551.0,6.8,594.0,8.6,752.0,20.9,1832.0,81.8,7173.0,10.1,882.0,64.1,5616.0,28.2,2475.0,8443,573,2060,805,6806,0,0,6,5.2,0.592206562,0.8290891859999999,0.35532393700000003,1.4212957480000001,Bajo,Muy Bajo,Muy Bajo,Muy Alto,0,0,0,0,0,0,0,0,0,0,0,0,9661,008,51.75447676223993,0.0,0.0,PLS,2020-06-01,11.637097936588878
93678,01009,01,TEPEZALÁ,Positivo SARS-CoV-2,AGUASCALIENTES,23.0,0.0,20926,4.1919,2.5291,42.0261,8.1717,1.253,4.2441,1.3339,2.8699,1.0105,22.0089,14.1067,-0.9574581,Bajo,2050.0,20484.0,50.7,10378.0,3.1,643.0,47.5,9735.0,31.2,6393.0,7.1,1447.0,11.1,2266.0,20.8,4258.0,8.3,1690.0,68.2,13965.0,6.1,1257.0,10.5,2142.0,21.4,4391.0,81.9,16771.0,11.2,2299.0,57.7,11825.0,21.0,4305.0,19668,1205,4953,3039,15152,0,2,10,8.3,0.508440106,1.372788286,0.508440106,0.305064063,Bajo,Bajo,Bajo,Muy Bajo,0,0,0,0,0,0,0,0,0,0,0,0,22743,009,101.13001802752495,0.0,0.0,PLS,2020-06-01,11.787164892559113
93679,01010,01,EL LLANO,Positivo SARS-CoV-2,AGUASCALIENTES,2.0,0.0,20245,4.8907,2.3069,42.2545,8.5898,1.7206,7.0873,2.6219,6.3089,2.1712,27.8369,18.0664,-0.7765681999999999,Bajo,1835.0,19955.0,55.1,10988.0,5.3,1064.0,49.7,9924.0,26.0,5181.0,8.2,1627.0,10.8,2158.0,19.7,3922.0,9.1,1819.0,63.8,12724.0,8.2,1631.0,17.1,3416.0,24.8,4939.0,81.0,16170.0,14.4,2883.0,63.2,12615.0,26.3,5249.0,18828,1085,4607,3283,13540,2,0,8,9.1,0.63734863,1.2215848740000002,0.796685787,0.531123858,Bajo,Bajo,Alto,Medio,0,0,0,0,0,0,0,0,0,0,0,0,21947,010,9.112862805850458,0.0,0.0,PLS,2020-06-01,12.291998100360338
